Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100nF,C1525
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",apfel_SOT-23_silkless,15,BAV70_Small,
D16,0402,1,PMEG2010EA,C2837790
F1,0402,1,500mA,C210357
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
"MX1, MX11, MX12, MX14, MX15, MX16, MX17, MX18, MX19, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX4, MX5, MX6, MX7, MX8, MX9",MX-HotswapSAFE_no_silk,30,MX_SW_HS,C5156480
"MX13, MX2",MX-HotswapSAFE_no_silk,2,MX_SW_HS,C5184526
"R1, R2",0402,2,5.1k,C25905
R3,0402,1,10k,C25744
SW1,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,C115357
SW2,SW_Push_SPST_NO_Alps_SKRK,1,RESET,C115357
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,C111367
U2,SOT-23-6,1,USBLC6-2SC6,C2687116
